"","studentid","schoolid","groupid","age","gender","grade","student_wealth","enrollment_2015","school_facilities","rural","time_to_bank","NGO_donations","W","IRT_score"
"19","2_20",2,80,12,2,2,0.0730141773819923,231.5,1.88248360157013,1,25,0,1,-0.0849234834313393
"20","2_22",2,80,6,1,2,-0.412353783845901,231.5,1.88248360157013,1,25,0,1,-0.595065295696259
"21","2_8",2,80,7,2,3,-0.890497863292694,231.5,1.88248360157013,1,25,0,1,-2.30766677856445
"22","2_24",2,80,8,2,3,-1.65504562854767,231.5,1.88248360157013,1,25,0,1,0.410398930311203
"23","2_14",2,80,7,1,3,-1.26322019100189,231.5,1.88248360157013,1,25,0,1,-0.66435444355011
"24","2_1",2,80,11,2,4,0.266244173049927,231.5,1.88248360157013,1,25,0,1,0.16076485812664
"25","2_15",2,80,13,2,4,-1.21064591407776,231.5,1.88248360157013,1,25,0,1,0.443415582180023
"26","2_18",2,80,11,2,4,0.923880577087402,231.5,1.88248360157013,1,25,0,1,0.088512048125267
"27","2_23",2,80,14,2,4,0.0320458710193634,231.5,1.88248360157013,1,25,0,1,-0.721400380134583
"28","2_12",2,80,13,1,5,-0.49867245554924,231.5,1.88248360157013,1,25,0,1,1.47290897369385
"29","2_10",2,80,14,2,6,-0.288102209568024,231.5,1.88248360157013,1,25,0,1,-0.643359541893005
"30","2_5",2,80,16,1,6,-0.49867245554924,231.5,1.88248360157013,1,25,0,1,0.909546911716461
"31","2_13",2,80,11,2,6,-0.890497863292694,231.5,1.88248360157013,1,25,0,1,-0.273032158613205
"32","2_9",2,80,14,1,7,-0.890497863292694,231.5,1.88248360157013,1,25,0,1,-0.587752461433411
"33","2_2",2,80,16,1,7,-0.818820536136627,231.5,1.88248360157013,1,25,0,1,1.70090448856354
"34","2_6",2,80,18,1,8,-0.890497863292694,231.5,1.88248360157013,1,25,0,1,1.37352705001831
"35","2_19",2,80,16,2,8,-0.890497863292694,231.5,1.88248360157013,1,25,0,1,-0.0107847368344665
"36","2_26",2,80,16,2,8,-0.6799276471138,231.5,1.88248360157013,1,25,0,1,0.913139641284943
"37","3_16",3,56,7,1,2,-1.33489751815796,152.5,2.13001084327698,1,30,770,1,-0.811180233955383
"38","3_13",3,56,10,1,2,-0.288102209568024,152.5,2.13001084327698,1,30,770,1,-0.69405734539032
"39","3_14",3,56,5,1,3,-0.106478132307529,152.5,2.13001084327698,1,30,770,1,-3.77194786071777
"40","3_24",3,56,12,1,3,-0.49867245554924,152.5,2.13001084327698,1,30,770,1,-0.182721883058548
"41","3_6",3,56,6,1,3,1.62158167362213,152.5,2.13001084327698,1,30,770,1,-2.06794214248657
"42","3_17",3,56,9,2,3,NA,152.5,2.13001084327698,1,30,770,1,-2.00295567512512
"43","3_5",3,56,11,2,4,-0.178155496716499,152.5,2.13001084327698,1,30,770,1,0.543734073638916
"44","3_15",3,56,10,2,4,2.47244811058044,152.5,2.13001084327698,1,30,770,1,-2.19445514678955
"45","3_11",3,56,13,1,4,2.08062267303467,152.5,2.13001084327698,1,30,770,1,-1.57526803016663
"46","3_2",3,56,17,1,5,-0.359779566526413,152.5,2.13001084327698,1,30,770,1,-0.427748709917068
"47","3_18",3,56,15,1,5,-0.178155496716499,152.5,2.13001084327698,1,30,770,1,-0.425361603498459
"48","3_1",3,56,14,1,6,-0.943072080612183,152.5,2.13001084327698,1,30,770,1,-0.104336097836494
"49","3_9",3,56,15,1,6,-1.65504562854767,152.5,2.13001084327698,1,30,770,1,0.400122284889221
"50","3_21",3,56,15,2,6,-0.943072080612183,152.5,2.13001084327698,1,30,770,1,1.41795587539673
"51","3_7",3,56,13,1,7,0.658069610595703,152.5,2.13001084327698,1,30,770,1,1.13317608833313
"52","3_10",3,56,15,1,7,0.658069610595703,152.5,2.13001084327698,1,30,770,1,1.12256228923798
"53","3_8",3,56,13,2,8,0.658069610595703,152.5,2.13001084327698,1,30,770,1,1.19205558300018
"54","3_12",3,56,14,1,8,-1.65504562854767,152.5,2.13001084327698,1,30,770,1,2.30199813842773
"55","3_3",3,56,18,2,8,-1.21064591407776,152.5,2.13001084327698,1,30,770,1,0.00114734168164432
"56","4_19",4,82,10,1,2,-1.26322019100189,216,1.30288577079773,1,120,0,0,-0.115337625145912
"57","4_14",4,82,8,2,2,NA,216,1.30288577079773,1,120,0,0,-0.40947088599205
"58","4_29",4,82,7,1,2,-0.818820536136627,216,1.30288577079773,1,120,0,0,-0.161309003829956
"59","4_21",4,82,9,2,3,-1.33489751815796,216,1.30288577079773,1,120,0,0,-1.01006245613098
"60","4_4",4,82,12,1,3,-1.65504562854767,216,1.30288577079773,1,120,0,0,0.217754974961281
"61","4_6",4,82,15,2,3,-1.65504562854767,216,1.30288577079773,1,120,0,0,-0.14411786198616
"62","4_7",4,82,12,2,4,-1.21064591407776,216,1.30288577079773,1,120,0,0,-0.79333621263504
"63","4_5",4,82,14,2,4,0.0320458710193634,216,1.30288577079773,1,120,0,0,-1.76999270915985
"64","4_18",4,82,11,1,4,-0.6799276471138,216,1.30288577079773,1,120,0,0,-1.48103702068329
"65","4_15",4,82,14,2,5,-0.818820536136627,216,1.30288577079773,1,120,0,0,-1.16542303562164
"66","4_8",4,82,13,1,5,-1.21064591407776,216,1.30288577079773,1,120,0,0,0.411667346954346
"67","4_30",4,82,12,1,5,-0.359779566526413,216,1.30288577079773,1,120,0,0,0.0351408571004868
"68","4_11",4,82,14,1,6,-1.65504562854767,216,1.30288577079773,1,120,0,0,0.281179875135422
"69","4_28",4,82,15,2,6,-1.33489751815796,216,1.30288577079773,1,120,0,0,-0.987191259860992
"70","4_2",4,82,9,2,6,-0.178155496716499,216,1.30288577079773,1,120,0,0,-1.46749031543732
"71","4_13",4,82,14,2,7,-1.65504562854767,216,1.30288577079773,1,120,0,0,0.530405342578888
"72","4_27",4,82,15,1,7,-1.33489751815796,216,1.30288577079773,1,120,0,0,0.647912859916687
"73","4_20",4,82,13,1,7,-0.890497863292694,216,1.30288577079773,1,120,0,0,1.80423843860626
"74","4_12",4,82,16,1,8,-0.818820536136627,216,1.30288577079773,1,120,0,0,1.40628731250763
"75","4_24",4,82,16,1,8,-1.65504562854767,216,1.30288577079773,1,120,0,0,0.519388556480408
"76","5_14",5,64,10,2,2,-1.65504562854767,267.5,1.65269577503204,1,120,0,0,1.12656116485596
"77","5_8",5,64,11,1,2,-0.49867245554924,267.5,1.65269577503204,1,120,0,0,-0.0973348915576935
"78","5_17",5,64,12,2,2,0.0320458710193634,267.5,1.65269577503204,1,120,0,0,-0.231675550341606
"79","5_4",5,64,10,1,3,-0.359779566526413,267.5,1.65269577503204,1,120,0,0,-0.0348396599292755
"80","5_3",5,64,9,2,3,0.0320458710193634,267.5,1.65269577503204,1,120,0,0,-1.11322426795959
"81","5_15",5,64,11,2,3,-0.943072080612183,267.5,1.65269577503204,1,120,0,0,-0.229090884327888
"82","5_10",5,64,11,1,4,NA,267.5,1.65269577503204,1,120,0,0,0.159858554601669
"83","5_9",5,64,11,1,4,4.27471590042114,267.5,1.65269577503204,1,120,0,0,-0.951582074165344
"84","5_19",5,64,10,1,4,1.94172978401184,267.5,1.65269577503204,1,120,0,0,0.860951781272888
"85","5_11",5,64,12,1,5,1.18878793716431,267.5,1.65269577503204,1,120,0,0,-0.069170743227005
"86","5_13",5,64,12,1,5,-0.890497863292694,267.5,1.65269577503204,1,120,0,0,-0.133262306451797
"87","5_16",5,64,12,2,5,-0.49867245554924,267.5,1.65269577503204,1,120,0,0,0.442684471607208
"88","5_2",5,64,15,2,6,-1.65504562854767,267.5,1.65269577503204,1,120,0,0,-0.253180831670761
"89","5_12",5,64,15,2,6,-0.890497863292694,267.5,1.65269577503204,1,120,0,0,-0.069064661860466
"90","5_5",5,64,8,1,6,-1.21064591407776,267.5,1.65269577503204,1,120,0,0,0.77910178899765
"91","5_18",5,64,16,1,7,-0.890497863292694,267.5,1.65269577503204,1,120,0,0,0.814520061016083
"92","5_6",5,64,16,1,7,2.47244811058044,267.5,1.65269577503204,1,120,0,0,1.3432502746582
"93","5_1",5,64,14,1,7,4.77113819122314,267.5,1.65269577503204,1,120,0,0,1.35685396194458
"94","5_7",5,64,16,1,8,-0.49867245554924,267.5,1.65269577503204,1,120,0,0,0.894228875637054
"95","5_20",5,64,13,1,8,-1.26322019100189,267.5,1.65269577503204,1,120,0,0,1.80066847801208
"96","6_20",6,80,6,2,2,-1.21064591407776,167,0.381987065076828,1,30,750,0,-1.44063329696655
"97","6_4",6,80,8,1,2,-1.21064591407776,167,0.381987065076828,1,30,750,0,-1.03915321826935
"98","6_16",6,80,7,2,3,-0.359779566526413,167,0.381987065076828,1,30,750,0,-1.44044280052185
"99","6_2",6,80,14,1,3,0.34058803319931,167,0.381987065076828,1,30,750,0,-0.578731834888458
"100","6_22",6,80,13,2,4,0.0320458710193634,167,0.381987065076828,1,30,750,0,-1.2973655462265
"101","6_29",6,80,13,2,4,-0.890497863292694,167,0.381987065076828,1,30,750,0,0.24144671857357
"102","6_7",6,80,8,1,4,-0.943072080612183,167,0.381987065076828,1,30,750,0,-0.542908072471619
"103","6_9",6,80,13,1,5,-1.21064591407776,167,0.381987065076828,1,30,750,0,-0.872078955173492
"104","6_1",6,80,14,2,5,0.266244173049927,167,0.381987065076828,1,30,750,0,-0.865679383277893
"105","6_27",6,80,13,2,5,-0.359779566526413,167,0.381987065076828,1,30,750,0,0.826076567173004
"106","6_13",6,80,10,2,6,-0.890497863292694,167,0.381987065076828,1,30,750,0,-0.380004435777664
"107","6_26",6,80,13,1,6,-0.890497863292694,167,0.381987065076828,1,30,750,0,0.384480655193329
"108","6_15",6,80,15,1,6,-0.890497863292694,167,0.381987065076828,1,30,750,0,-0.105242513120174
"109","6_25",6,80,14,1,6,-0.359779566526413,167,0.381987065076828,1,30,750,0,0.677491009235382
"110","6_10",6,80,14,1,7,-0.49867245554924,167,0.381987065076828,1,30,750,0,1.28091096878052
"111","6_24",6,80,13,1,7,-0.288102209568024,167,0.381987065076828,1,30,750,0,1.00017869472504
"112","6_28",6,80,18,1,8,-0.890497863292694,167,0.381987065076828,1,30,750,0,-0.93835973739624
"113","6_14",6,80,7,2,8,-1.33489751815796,167,0.381987065076828,1,30,750,0,-2.6599063873291
"114","6_23",6,80,6,2,8,NA,167,0.381987065076828,1,30,750,0,-1.8731701374054
"115","7_19",7,43,12,1,2,1.31570601463318,216.5,-3.3503692150116,1,4,0,1,0.87434709072113
"116","7_17",7,43,12,1,2,-0.890497863292694,216.5,-3.3503692150116,1,4,0,1,1.88581621646881
"117","7_18",7,43,8,2,3,-1.33489751815796,216.5,-3.3503692150116,1,4,0,1,-1.23419606685638
"118","7_16",7,43,9,1,3,-1.65504562854767,216.5,-3.3503692150116,1,4,0,1,-0.305518835783005
"119","7_3",7,43,12,1,3,-0.943072080612183,216.5,-3.3503692150116,1,4,0,1,0.0908061191439629
"120","7_6",7,43,12,2,3,-0.943072080612183,216.5,-3.3503692150116,1,4,0,1,-0.330971747636795
"121","7_9",7,43,11,2,3,-0.943072080612183,216.5,-3.3503692150116,1,4,0,1,-0.127998277544975
"122","7_10",7,43,9,2,3,-1.33489751815796,216.5,-3.3503692150116,1,4,0,1,-1.10791528224945
"123","7_13",7,43,10,2,3,-0.6799276471138,216.5,-3.3503692150116,1,4,0,1,-0.512586891651154
"124","7_5",7,43,10,2,3,NA,216.5,-3.3503692150116,1,4,0,1,0.830904543399811
"125","7_8",7,43,11,2,3,-0.49867245554924,216.5,-3.3503692150116,1,4,0,1,-1.09893584251404
"126","7_4",7,43,12,1,4,-0.49867245554924,216.5,-3.3503692150116,1,4,0,1,0.545446872711182
"127","7_1",7,43,15,1,4,-0.49867245554924,216.5,-3.3503692150116,1,4,0,1,0.798901557922363
"128","7_12",7,43,12,1,4,-1.21064591407776,216.5,-3.3503692150116,1,4,0,1,1.89344191551208
"129","7_20",7,43,15,1,4,-0.890497863292694,216.5,-3.3503692150116,1,4,0,1,0.421413749456406
"130","7_14",7,43,14,1,5,-0.49867245554924,216.5,-3.3503692150116,1,4,0,1,-0.0254206340759993
"131","7_15",7,43,15,2,6,-0.890497863292694,216.5,-3.3503692150116,1,4,0,1,0.305400878190994
"132","7_7",7,43,16,1,6,-0.49867245554924,216.5,-3.3503692150116,1,4,0,1,2.15926694869995
"133","7_2",7,43,16,1,8,-1.21064591407776,216.5,-3.3503692150116,1,4,0,1,1.37654983997345
"134","7_11",7,43,13,1,8,-1.21064591407776,216.5,-3.3503692150116,1,4,0,1,1.70780324935913
"135","8_7",8,82,12,1,2,1.76047456264496,126,0.535244584083557,1,120,0,1,-0.358413308858871
"136","8_6",8,82,10,2,2,-0.49867245554924,126,0.535244584083557,1,120,0,1,0.886303782463074
"137","8_17",8,82,10,1,2,-0.890497863292694,126,0.535244584083557,1,120,0,1,-0.905911803245544
"138","8_19",8,82,11,1,3,2.58762431144714,126,0.535244584083557,1,120,0,1,0.280069559812546
"139","8_13",8,82,9,1,3,1.94172978401184,126,0.535244584083557,1,120,0,1,0.0969928056001663
"140","8_18",8,82,10,1,3,-0.818820536136627,126,0.535244584083557,1,120,0,1,-0.346160054206848
"141","8_21",8,82,10,2,3,-0.818820536136627,126,0.535244584083557,1,120,0,1,-0.459886342287064
"142","8_14",8,82,10,1,4,-0.359779566526413,126,0.535244584083557,1,120,0,1,2.27389216423035
"143","8_8",8,82,11,1,5,-1.33489751815796,126,0.535244584083557,1,120,0,1,1.63774812221527
"144","8_3",8,82,11,1,5,2.47244811058044,126,0.535244584083557,1,120,0,1,1.00718176364899
"145","8_12",8,82,17,2,6,-0.49867245554924,126,0.535244584083557,1,120,0,1,0.629505932331085
"146","8_9",8,82,12,1,6,-0.943072080612183,126,0.535244584083557,1,120,0,1,2.49988985061646
"147","8_10",8,82,14,2,7,-1.33489751815796,126,0.535244584083557,1,120,0,1,0.908478021621704
"148","8_4",8,82,10,1,7,1.10550463199615,126,0.535244584083557,1,120,0,1,-0.0158786326646805
"149","8_15",8,82,13,1,7,2.24492216110229,126,0.535244584083557,1,120,0,1,1.7336333990097
"150","8_16",8,82,13,1,7,-1.21064591407776,126,0.535244584083557,1,120,0,1,2.29528212547302
"151","8_5",8,82,17,1,8,-0.371385484933853,126,0.535244584083557,1,120,0,1,0.0688244476914406
"152","8_11",8,82,16,1,8,-0.943072080612183,126,0.535244584083557,1,120,0,1,1.03211748600006
"153","9_3",9,14,11,1,2,1.81212842464447,362,4.15458488464355,1,30,0,0,-0.228582158684731
"154","9_9",9,14,13,2,2,-0.49867245554924,362,4.15458488464355,1,30,0,0,-0.545717239379883
"155","9_16",9,14,9,2,2,-0.288102209568024,362,4.15458488464355,1,30,0,0,-0.052242960780859
"156","9_4",9,14,5,2,3,-0.818820536136627,362,4.15458488464355,1,30,0,0,-0.568518221378326
"157","9_2",9,14,8,2,3,-1.26322019100189,362,4.15458488464355,1,30,0,0,-2.2305052280426
"158","9_6",9,14,10,1,3,0.337921530008316,362,4.15458488464355,1,30,0,0,-0.460598886013031
"159","9_20",9,14,11,1,4,-0.49867245554924,362,4.15458488464355,1,30,0,0,0.572610914707184
"160","9_5",9,14,15,1,4,1.94172978401184,362,4.15458488464355,1,30,0,0,-0.111423142254353
"161","9_17",9,14,11,1,4,-0.818820536136627,362,4.15458488464355,1,30,0,0,2.26725339889526
"162","9_7",9,14,16,1,5,0.0320458710193634,362,4.15458488464355,1,30,0,0,-0.293969959020615
"163","9_22",9,14,14,2,5,-1.21064591407776,362,4.15458488464355,1,30,0,0,0.404062122106552
"164","9_18",9,14,18,2,6,1.18878793716431,362,4.15458488464355,1,30,0,0,-0.64509642124176
"165","9_10",9,14,13,2,6,1.62158167362213,362,4.15458488464355,1,30,0,0,0.217333599925041
"166","9_1",9,14,13,1,6,3.93238258361816,362,4.15458488464355,1,30,0,0,1.81864774227142
"167","9_13",9,14,11,1,7,0.0320458710193634,362,4.15458488464355,1,30,0,0,1.00764620304108
"168","9_12",9,14,18,1,7,5.66297292709351,362,4.15458488464355,1,30,0,0,0.764984011650085
"169","9_14",9,14,14,2,7,-0.49867245554924,362,4.15458488464355,1,30,0,0,-0.491981267929077
"170","9_21",9,14,15,2,8,-0.890497863292694,362,4.15458488464355,1,30,0,0,2.70473504066467
"171","9_11",9,14,17,1,8,0.0320458710193634,362,4.15458488464355,1,30,0,0,-0.577572643756866
"172","10_8",10,14,13,2,2,-1.21064591407776,179.5,1.54330611228943,1,1,0,1,0.0742662772536278
"173","10_3",10,14,11,1,2,-0.943072080612183,179.5,1.54330611228943,1,1,0,1,-0.197983875870705
"174","10_21",10,14,11,1,2,-0.943072080612183,179.5,1.54330611228943,1,1,0,1,0.235734090209007
"175","10_7",10,14,9,2,3,-1.33489751815796,179.5,1.54330611228943,1,1,0,1,0.142401278018951
"176","10_13",10,14,9,1,3,-0.818820536136627,179.5,1.54330611228943,1,1,0,1,-0.17647497355938
"177","10_20",10,14,11,1,3,-0.890497863292694,179.5,1.54330611228943,1,1,0,1,-0.186242967844009
"178","10_15",10,14,11,1,4,-0.49867245554924,179.5,1.54330611228943,1,1,0,1,0.694006085395813
"179","10_12",10,14,13,1,4,-1.21064591407776,179.5,1.54330611228943,1,1,0,1,0.156913578510284
"180","10_19",10,14,11,2,4,-0.0512374080717564,179.5,1.54330611228943,1,1,0,1,0.0262705758213997
"181","10_4",10,14,7,1,5,2.47244811058044,179.5,1.54330611228943,1,1,0,1,0.836217761039734
"182","10_9",10,14,11,2,5,0.0320458710193634,179.5,1.54330611228943,1,1,0,1,2.19079375267029
"183","10_10",10,14,10,1,6,0.0320458710193634,179.5,1.54330611228943,1,1,0,1,1.84422314167023
"184","10_11",10,14,13,2,6,2.7756404876709,179.5,1.54330611228943,1,1,0,1,1.95358657836914
"185","10_14",10,14,12,1,6,0.0320458710193634,179.5,1.54330611228943,1,1,0,1,1.65413129329681
"186","10_17",10,14,12,1,7,-0.943072080612183,179.5,1.54330611228943,1,1,0,1,2.01607155799866
"187","10_22",10,14,14,2,7,-0.890497863292694,179.5,1.54330611228943,1,1,0,1,0.30200406908989
"188","10_2",10,14,13,2,7,-1.33489751815796,179.5,1.54330611228943,1,1,0,1,1.19246804714203
"189","10_6",10,14,15,1,8,-0.359779566526413,179.5,1.54330611228943,1,1,0,1,0.584437727928162
"190","10_5",10,14,16,2,8,-1.21064591407776,179.5,1.54330611228943,1,1,0,1,0.387158751487732
"191","11_18",11,1,11,1,2,-0.49867245554924,232,0.823447346687317,1,40,0,1,0.528946399688721
"192","11_15",11,1,12,1,2,2.47244811058044,232,0.823447346687317,1,40,0,1,-0.0236857533454895
"193","11_10",11,1,9,1,2,1.18878793716431,232,0.823447346687317,1,40,0,1,0.754394233226776
"194","11_9",11,1,11,1,3,-0.943072080612183,232,0.823447346687317,1,40,0,1,-0.842634856700897
"195","11_19",11,1,10,1,3,3.35217213630676,232,0.823447346687317,1,40,0,1,-0.35222464799881
"196","11_14",11,1,11,1,3,0.658069610595703,232,0.823447346687317,1,40,0,1,1.57403588294983
"197","11_12",11,1,10,2,4,-0.49867245554924,232,0.823447346687317,1,40,0,1,0.398134738206863
"198","11_6",11,1,13,1,4,2.15229988098145,232,0.823447346687317,1,40,0,1,0.675369083881378
"199","11_4",11,1,10,1,4,3.88289046287537,232,0.823447346687317,1,40,0,1,1.62871265411377
"200","11_17",11,1,13,1,5,2.47244811058044,232,0.823447346687317,1,40,0,1,0.332510530948639
"201","11_5",11,1,14,1,5,-0.49867245554924,232,0.823447346687317,1,40,0,1,0.930990219116211
"202","11_8",11,1,11,2,5,1.22975623607635,232,0.823447346687317,1,40,0,1,1.05248141288757
"203","11_1",11,1,15,2,6,-1.21064591407776,232,0.823447346687317,1,40,0,1,0.543541371822357
"204","11_2",11,1,13,1,6,-0.49867245554924,232,0.823447346687317,1,40,0,1,1.62393009662628
"205","11_13",11,1,15,2,6,-0.0539039149880409,232,0.823447346687317,1,40,0,1,0.353738844394684
"206","11_3",11,1,15,1,7,-0.890497863292694,232,0.823447346687317,1,40,0,1,1.43726217746735
"207","11_20",11,1,18,1,7,-1.33489751815796,232,0.823447346687317,1,40,0,1,1.20062398910522
"208","11_7",11,1,17,1,8,-0.49867245554924,232,0.823447346687317,1,40,0,1,0.676691830158234
"209","11_16",11,1,17,2,8,-0.818820536136627,232,0.823447346687317,1,40,0,1,0.184112459421158
"210","11_11",11,1,18,2,8,-0.49867245554924,232,0.823447346687317,1,40,0,1,0.481868594884872
"211","12_30",12,6,12,1,2,-0.943072080612183,206.5,-0.299893587827682,1,240,0,1,1.86123251914978
"212","12_12",12,6,11,1,2,-1.21064591407776,206.5,-0.299893587827682,1,240,0,1,0.181332960724831
"213","12_16",12,6,10,2,2,0.0320458710193634,206.5,-0.299893587827682,1,240,0,1,-0.379227101802826
"214","12_7",12,6,11,1,3,-0.890497863292694,206.5,-0.299893587827682,1,240,0,1,0.350126296281815
"215","12_3",12,6,10,2,3,-1.21064591407776,206.5,-0.299893587827682,1,240,0,1,-0.277445316314697
"216","12_28",12,6,15,2,4,-0.890497863292694,206.5,-0.299893587827682,1,240,0,1,-0.791073799133301
"217","12_31",12,6,12,2,4,-0.818820536136627,206.5,-0.299893587827682,1,240,0,1,1.23010897636414
"218","12_13",12,6,15,1,4,-1.65504562854767,206.5,-0.299893587827682,1,240,0,1,0.645639777183533
"219","12_19",12,6,16,1,5,-1.21064591407776,206.5,-0.299893587827682,1,240,0,1,-0.271150916814804
"220","12_17",12,6,11,1,5,-0.818820536136627,206.5,-0.299893587827682,1,240,0,1,1.28686320781708
"221","12_22",12,6,10,1,5,-0.890497863292694,206.5,-0.299893587827682,1,240,0,1,0.907186448574066
"222","12_14",12,6,13,1,6,-1.26322019100189,206.5,-0.299893587827682,1,240,0,1,1.42273724079132
"223","12_21",12,6,14,1,6,-0.890497863292694,206.5,-0.299893587827682,1,240,0,1,1.53416585922241
"224","12_25",12,6,15,1,6,-0.890497863292694,206.5,-0.299893587827682,1,240,0,1,0.616171419620514
"225","12_5",12,6,17,1,7,0.0320458710193634,206.5,-0.299893587827682,1,240,0,1,1.71808099746704
"226","12_29",12,6,14,2,7,1.54990434646606,206.5,-0.299893587827682,1,240,0,1,1.93617308139801
"227","12_8",12,6,17,2,7,-0.890497863292694,206.5,-0.299893587827682,1,240,0,1,0.10063061863184
"228","12_4",12,6,17,2,8,-0.943072080612183,206.5,-0.299893587827682,1,240,0,1,1.49390923976898
"229","12_24",12,6,14,2,8,0.0320458710193634,206.5,-0.299893587827682,1,240,0,1,1.24535596370697
"230","12_9",12,6,13,1,8,-0.943072080612183,206.5,-0.299893587827682,1,240,0,1,1.65016186237335
"231","13_12",13,78,11,2,2,-0.818820536136627,510,1.54919576644897,0,15,0,0,0.169655755162239
"232","13_3",13,78,10,2,2,3.3299868106842,510,1.54919576644897,0,15,0,0,-0.370613038539886
"233","13_16",13,78,13,2,2,3.93238258361816,510,1.54919576644897,0,15,0,0,-0.318675965070724
"234","13_1",13,78,11,1,3,-0.49867245554924,510,1.54919576644897,0,15,0,0,0.430451512336731
"235","13_11",13,78,8,1,3,-0.49867245554924,510,1.54919576644897,0,15,0,0,-0.0574220307171345
"236","13_4",13,78,7,1,3,NA,510,1.54919576644897,0,15,0,0,-0.164928987622261
"237","13_17",13,78,7,2,4,2.47244811058044,510,1.54919576644897,0,15,0,0,0.379573076963425
"238","13_13",13,78,11,2,4,1.94172978401184,510,1.54919576644897,0,15,0,0,0.363117069005966
"239","13_6",13,78,10,1,4,3.72181224822998,510,1.54919576644897,0,15,0,0,0.820587575435638
"240","13_18",13,78,13,2,5,0.393162250518799,510,1.54919576644897,0,15,0,0,-0.596329987049103
"241","13_2",13,78,12,1,5,2.47244811058044,510,1.54919576644897,0,15,0,0,1.21567499637604
"242","13_5",13,78,12,2,5,0.0320458710193634,510,1.54919576644897,0,15,0,0,0.155689373612404
"243","13_7",13,78,14,2,6,1.18878793716431,510,1.54919576644897,0,15,0,0,1.528529047966
"244","13_15",13,78,16,2,6,0.868639826774597,510,1.54919576644897,0,15,0,0,-0.564448237419128
"245","13_14",13,78,10,1,6,0.995557963848114,510,1.54919576644897,0,15,0,0,0.930403411388397
"246","13_20",13,78,13,1,7,-0.49867245554924,510,1.54919576644897,0,15,0,0,1.54607844352722
"247","13_19",13,78,10,1,7,3.72181224822998,510,1.54919576644897,0,15,0,0,0.845527589321136
"248","13_9",13,78,18,1,7,-0.818820536136627,510,1.54919576644897,0,15,0,0,0.508828938007355
"249","13_10",13,78,14,2,8,-0.49867245554924,510,1.54919576644897,0,15,0,0,0.792460203170776
"250","13_8",13,78,14,1,8,-0.49867245554924,510,1.54919576644897,0,15,0,0,1.22237324714661
"251","14_12",14,45,11,2,2,0.0320458710193634,111,-1.48832619190216,1,30,0,0,0.161413565278053
"252","14_22",14,45,10,1,2,-1.65504562854767,111,-1.48832619190216,1,30,0,0,-1.21698784828186
"253","14_5",14,45,7,1,3,-0.890497863292694,111,-1.48832619190216,1,30,0,0,-0.770722389221191
"254","14_20",14,45,11,2,3,-0.890497863292694,111,-1.48832619190216,1,30,0,0,-1.00101709365845
"255","14_7",14,45,10,1,3,-0.890497863292694,111,-1.48832619190216,1,30,0,0,-1.38984620571136
"256","14_19",14,45,14,2,4,-0.943072080612183,111,-1.48832619190216,1,30,0,0,-1.17395949363708
"257","14_13",14,45,11,1,4,-1.26322019100189,111,-1.48832619190216,1,30,0,0,0.145102620124817
"258","14_3",14,45,11,2,4,-0.943072080612183,111,-1.48832619190216,1,30,0,0,0.105940148234367
"259","14_9",14,45,8,2,4,-1.65504562854767,111,-1.48832619190216,1,30,0,0,0.374890446662903
"260","14_4",14,45,13,1,5,-0.890497863292694,111,-1.48832619190216,1,30,0,0,0.988051235675812
